id,star_id,hjd,camera,mag,mag_err,flux,flux_err,created_at,updated_at
0676348c-34aa-5fae-b318-2af01cd8c7b5,bd178638-277e-5285-bd32-c3f9a12adab8,2457603.03066,bb,14.496,0.02963,6.103,0.166,2019-04-16 16:31:51 UTC,2019-04-16 16:31:51 UTC
07e4ee75-7407-5c07-bfe6-3a57a4f24199,bd178638-277e-5285-bd32-c3f9a12adab8,2457610.10731,bb,13.722,0.02233,12.454,0.256,2019-04-16 16:32:04 UTC,2019-04-16 16:32:04 UTC
0a30a2da-c2fe-5aa8-a2bf-a21b58327b3c,bd178638-277e-5285-bd32-c3f9a12adab8,2457939.01247,bb,15.028,0.04104,3.738,0.141,2019-04-16 16:32:01 UTC,2019-04-16 16:32:01 UTC
0b2fae8b-7f5c-51cf-b5e2-2210a57bd5b4,bd178638-277e-5285-bd32-c3f9a12adab8,2457737.78184,bb,16.59,0.12086,0.887,0.099,2019-04-16 16:31:50 UTC,2019-04-16 16:31:50 UTC
0e8134b1-2b60-5b22-8f47-151d922a4972,bd178638-277e-5285-bd32-c3f9a12adab8,2457532.11295,bb,16.37,99.99,0.92,0.217,2019-04-16 16:31:50 UTC,2019-04-16 16:31:50 UTC
12544471-ef10-5d2b-a121-b264270ce3c3,bd178638-277e-5285-bd32-c3f9a12adab8,2457660.97515,bb,13.222,0.02229,19.737,0.405,2019-04-16 16:31:49 UTC,2019-04-16 16:31:49 UTC
13c258e5-411c-5785-b383-8da1ef9ac172,bd178638-277e-5285-bd32-c3f9a12adab8,2457045.70805,bb,16.663,99.99,0.301,0.166,2019-04-16 16:31:44 UTC,2019-04-16 16:31:44 UTC
17f0868a-27a5-5084-b486-65c4b8c77d99,bd178638-277e-5285-bd32-c3f9a12adab8,2457670.91688,bb,13.489,0.02185,15.427,0.31,2019-04-16 16:31:27 UTC,2019-04-16 16:31:27 UTC
1ee3e4ce-9225-538e-862d-0f44daf23071,bd178638-277e-5285-bd32-c3f9a12adab8,2457177.08899,bb,13.244,0.02221,19.335,0.395,2019-04-16 16:31:51 UTC,2019-04-16 16:31:51 UTC
1f07dc35-e6de-5561-9fa0-43fb534f7d2d,bd178638-277e-5285-bd32-c3f9a12adab8,2457538.11031,bb,16.596,99.99,0.629,0.176,2019-04-16 16:31:56 UTC,2019-04-16 16:31:56 UTC
213c20db-4c5f-557d-8919-34930e179ad3,bd178638-277e-5285-bd32-c3f9a12adab8,2457704.70759,bb,15.436,0.05471,2.567,0.129,2019-04-16 16:31:41 UTC,2019-04-16 16:31:41 UTC
217af07c-076e-5dbe-8683-9fea3ddb2dec,bd178638-277e-5285-bd32-c3f9a12adab8,2457365.7986,bb,13.179,0.02247,20.533,0.425,2019-04-16 16:31:41 UTC,2019-04-16 16:31:41 UTC
22bca5db-78fa-52d7-92fd-b148f1e91410,bd178638-277e-5285-bd32-c3f9a12adab8,2457981.99082,bb,16.772,0.13355,0.75,0.092,2019-04-16 16:31:23 UTC,2019-04-16 16:31:23 UTC
2500e5a9-bdf8-5ad2-889f-dbc2030469ce,bd178638-277e-5285-bd32-c3f9a12adab8,2457688.89272,bb,14.415,0.02841,6.575,0.172,2019-04-16 16:31:41 UTC,2019-04-16 16:31:41 UTC
25bcf635-a579-5bb5-8de1-791e29506e65,bd178638-277e-5285-bd32-c3f9a12adab8,2457273.93211,bb,16.729,0.13057,0.781,0.094,2019-04-16 16:31:24 UTC,2019-04-16 16:31:24 UTC
28a2d371-fd3d-5e5b-81bc-752252502061,bd178638-277e-5285-bd32-c3f9a12adab8,2457370.8188,bb,12.736,0.02,30.863,0.568,2019-04-16 16:32:12 UTC,2019-04-16 16:32:12 UTC
29ebc3d3-dfe6-5887-98c1-ba4f868918b2,bd178638-277e-5285-bd32-c3f9a12adab8,2457047.70882,bb,16.642,99.99,0.137,0.169,2019-04-16 16:32:01 UTC,2019-04-16 16:32:01 UTC
2bf95d48-f2b5-5314-8f99-adc1f4052521,bd178638-277e-5285-bd32-c3f9a12adab8,2458019.05227,bb,16.784,99.99,0.592,0.148,2019-04-16 16:32:04 UTC,2019-04-16 16:32:04 UTC
2cd8ad7d-175a-5ef4-a01f-201f6f681f43,bd178638-277e-5285-bd32-c3f9a12adab8,2458066.91897,bb,16.688,99.99,0.459,0.162,2019-04-16 16:32:02 UTC,2019-04-16 16:32:02 UTC
2f094484-9cb7-585f-9ab2-48eea456e0e2,bd178638-277e-5285-bd32-c3f9a12adab8,2457039.72014,bb,16.729,99.99,0.134,0.156,2019-04-16 16:31:56 UTC,2019-04-16 16:31:56 UTC
3422660f-6b6b-560b-bda2-d08a1bbeddbe,bd178638-277e-5285-bd32-c3f9a12adab8,2457329.94131,bb,15.872,0.07511,1.718,0.119,2019-04-16 16:32:01 UTC,2019-04-16 16:32:01 UTC
