ASASSN-V J000912.41+590503.0
HJD MAG MAG_ERR FLUX FLUX_ERR
2457043.70582 14.544 0.03041 5.837 0.163
2457298.87131 14.539 0.03033 5.866 0.164
2457898.11324 14.23 0.02606 7.794 0.187
2457209.08498 14.411 0.02836 6.598 0.172
2457183.08912 14.53 0.03018 5.916 0.164
2457983.94449 14.212 0.02587 7.926 0.189
2457213.0616 14.473 0.02928 6.232 0.168
2457975.99748 14.108 0.02482 8.723 0.199
2457314.80351 14.542 0.03038 5.849 0.163
2457046.70854 14.686 0.03299 5.125 0.156
2457319.70219 14.391 0.02808 6.72 0.174
2457915.08524 14.269 0.02651 7.519 0.183
2457223.00983 14.503 0.02974 6.062 0.166
2457707.88766 14.4 0.0282 6.669 0.173
2458022.00864 14.15 0.02522 8.396 0.195
2457670.91688 14.332 0.02729 7.097 0.178
2457612.90613 14.426 0.02857 6.512 0.171
2457930.0464 14.254 0.02634 7.624 0.185
2457906.10776 14.263 0.02644 7.564 0.184
2457272.09624 14.505 0.02978 6.055 0.166
2457037.72237 14.63 0.03193 5.394 0.158
2457688.89272 14.438 0.02875 6.439 0.17
2457538.11031 14.236 0.02613 7.751 0.186
2457643.83628 14.404 0.02826 6.642 0.173
2457305.90888 14.597 0.03133 5.563 0.16
2457231.95716 14.423 0.02853 6.527 0.171
2458010.82195 14.098 0.02473 8.801 0.2
2457369.80148 14.378 0.0279 6.802 0.175
2457362.84465 14.534 0.03025 5.89 0.164
2457625.96278 14.404 0.02826 6.644 0.173
2457263.06388 14.419 0.02847 6.55 0.172
2457176.09182 14.405 0.02827 6.633 0.173
2457385.77361 14.376 0.02787 6.815 0.175
2458063.91972 14.245 0.02623 7.691 0.186
2458034.8906 14.095 0.0247 8.828 0.201
2457603.03066 14.32 0.02713 7.177 0.179
2458024.90045 14.114 0.02488 8.674 0.199
2458019.05227 14.179 0.02552 8.168 0.192
2457303.96298 14.518 0.02999 5.982 0.165
2457256.02985 14.524 0.03008 5.945 0.165
2458070.91094 14.153 0.02525 8.372 0.194
2457323.76974 14.487 0.02949 6.152 0.167
2457737.78184 14.358 0.02763 6.928 0.176
2457660.97515 14.382 0.02795 6.776 0.174
2457587.04985 14.34 0.02739 7.042 0.177
2457241.99914 14.469 0.02921 6.257 0.168
2457669.82119 14.393 0.0281 6.707 0.173
2457399.72521 14.422 0.02852 6.534 0.171
2457694.94003 14.441 0.02879 6.418 0.17
2458029.83295 14.131 0.02504 8.541 0.197
2457177.08899 14.429 0.02862 6.489 0.171
2457365.7986 14.498 0.02967 6.094 0.166
2457317.88549 14.503 0.02974 6.066 0.166
2457701.72753 14.419 0.02847 6.55 0.172
2457589.97341 14.307 0.02697 7.263 0.18
2457616.90345 14.463 0.02912 6.291 0.169
2457686.93531 14.384 0.02798 6.768 0.174
2458056.72503 14.05 0.02431 9.2 0.206
2457735.82476 14.435 0.0287 6.454 0.17
2457990.07007 14.164 0.02536 8.289 0.193
2457579.04712 14.287 0.02673 7.399 0.182
2457673.84958 14.448 0.0289 6.38 0.17
2457656.95122 14.382 0.02795 6.779 0.174
2457631.0469 14.413 0.02839 6.586 0.172
2457273.93211 14.517 0.02997 5.988 0.165
2457370.8188 14.39 0.02806 6.729 0.174
2457297.95869 14.58 0.03103 5.65 0.161
2457680.95708 14.409 0.02833 6.612 0.172
2457329.94131 14.473 0.02928 6.231 0.168
2457574.02391 14.315 0.02707 7.209 0.18
2458066.91897 14.173 0.02545 8.218 0.192
2457205.02603 14.376 0.02787 6.818 0.175
2458064.92944 14.091 0.02466 8.862 0.201
2457358.76753 14.525 0.0301 5.94 0.164
2457229.95898 14.476 0.02932 6.218 0.168
2458009.00923 14.111 0.02485 8.697 0.199
2457238.03353 14.462 0.02911 6.294 0.169
2457180.09465 14.413 0.02839 6.589 0.172
2457696.95275 14.421 0.0285 6.542 0.172
2458055.74037 14.076 0.02453 8.983 0.203
2457545.07605 14.347 0.02748 7.001 0.177
2457610.10731 14.286 0.02671 7.404 0.182
2457553.06979 14.324 0.02719 7.149 0.179
2457047.70882 14.598 0.03135 5.557 0.16
2457039.72014 14.664 0.03256 5.229 0.157
2457939.01247 14.167 0.02539 8.263 0.193
2457652.89681 14.354 0.02757 6.955 0.176
2457981.99082 14.17 0.02542 8.238 0.193
2457980.05199 14.164 0.02536 8.282 0.193
2457704.70759 14.394 0.02812 6.707 0.174
2457243.97829 14.517 0.02997 5.984 0.165
