ASASSN-V J001244.89-080209.4
HJD MAG MAG_ERR FLUX FLUX_ERR
2458369.86699 16.359 0.10299 1.127 0.107
2458368.60498 16.43 0.10778 1.055 0.105
2457937.77181 16.23 0.09922 1.187 0.108
2457694.87152 16.384 0.10662 1.072 0.105
2457370.60845 16.664 0.124 0.851 0.097
2457252.75791 16.216 0.09367 1.285 0.111
2458096.79817 16.411 0.10846 1.046 0.104
2457699.69048 16.35 0.10723 1.063 0.105
2457545.85392 16.419 0.10703 1.067 0.105
2457340.70432 16.702 0.13168 0.769 0.093
2456890.05657 16.225 0.09642 1.236 0.11
2456464.06463 16.355 0.10466 1.101 0.106
2458126.69824 16.445 99.99 0.771 0.203
2458056.50115 16.316 0.10493 1.098 0.106
2458037.96336 16.517 0.11576 0.949 0.101
2458019.98166 16.534 0.11695 0.934 0.1
2457660.953 16.58 0.12051 0.891 0.099
2457206.80936 16.264 0.09674 1.23 0.109
2456899.97533 16.381 0.10676 1.07 0.105
2456540.84477 16.171 0.09266 1.305 0.111
2458120.72193 16.515 99.99 0.694 0.19
2458056.52072 16.147 0.08935 1.37 0.113
2457969.93857 16.426 0.10948 1.031 0.104
2457333.72168 16.365 0.10339 1.12 0.107
2456899.95449 16.508 0.11514 0.956 0.101
2458121.53386 16.67 99.99 0.659 0.165
2458015.00436 16.463 0.11237 0.992 0.103
2458012.9223 16.72 0.13029 0.783 0.094
2457979.07148 16.432 0.10989 1.026 0.104
2457152.90245 16.489 0.11182 1.0 0.103
2456961.61995 16.335 0.10139 1.152 0.107
2456889.11638 16.463 0.11202 0.997 0.103
2457380.57666 15.777 0.06867 1.926 0.122
2457365.6294 16.345 0.10689 1.068 0.105
2457313.71059 16.535 0.115 0.959 0.101
2456809.09868 16.278 0.09987 1.177 0.108
2457308.60881 16.702 0.13168 0.769 0.093
2457015.56319 16.222 0.09405 1.278 0.111
2456988.77653 16.365 0.10534 1.091 0.106
2458111.54145 16.721 0.12799 0.807 0.095
2458090.5872 16.455 99.99 0.75 0.201
2457635.82152 16.213 0.09348 1.289 0.111
2457385.7331 16.638 0.12421 0.849 0.097
2457247.07222 16.321 0.10272 1.131 0.107
2457159.89537 16.644 0.1226 0.867 0.098
2456971.90646 16.114 0.08911 1.375 0.113
2457546.84184 16.77 0.13637 0.722 0.091
2457269.63238 16.222 0.09405 1.279 0.111
2457604.68417 16.426 0.11244 0.992 0.103
2457602.7049 16.672 0.12456 0.845 0.097
2457545.84551 16.29 0.10319 1.124 0.107
2457317.72741 16.342 0.10669 1.071 0.105
2456998.79299 16.577 0.11995 0.898 0.099
2456981.75145 16.477 0.11299 0.984 0.102
2456820.08255 16.374 0.10628 1.077 0.105
2457981.01707 16.698 0.12841 0.803 0.095
2457630.67079 16.399 0.11058 1.017 0.103
2457627.91573 16.611 0.12267 0.866 0.098
2457595.93042 16.793 0.13794 0.707 0.09
2457333.72533 16.645 0.12771 0.81 0.095
2456878.717 16.72 99.99 0.637 0.157
2456876.681 16.493 0.11209 0.997 0.103
2458071.83414 16.32 0.10266 1.132 0.107
2458033.96584 16.682 99.99 0.748 0.163
2457942.00849 16.041 0.0847 1.47 0.115
2457908.88663 16.002 0.08073 1.566 0.116
2456917.94003 16.699 0.12883 0.799 0.095
2457205.85728 16.599 99.99 0.685 0.176
2457190.86362 16.156 0.08991 1.359 0.112
2456817.0996 16.424 0.10969 1.029 0.104
