id,source_id,asassn_name,other_names,raj2000,dej2000,l,b,mean_vmag,amplitude,period,variable_type,class_probability,lksl_statistic,rfr_score,epoch_hjd,gdr2_id,phot_g_mean_mag,e_phot_g_mean_mag,phot_bp_mean_mag,e_phot_bp_mean_mag,phot_rp_mean_mag,e_phot_rp_mean_mag,bp_rp,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,vt,dist,allwise_id,j_mag,e_j_mag,h_mag,e_h_mag,k_mag,e_k_mag,w1_mag,e_w1_mag,w2_mag,e_w2_mag,w3_mag,e_w3_mag,w4_mag,e_w4_mag,j_k,w1_w2,w3_w4,apass_dr9_id,apass_vmag,e_apass_vmag,apass_bmag,e_apass_bmag,apass_gpmag,e_apass_gpmag,apass_rpmag,e_apass_rpmag,apass_ipmag,e_apass_ipmag,b_v,e_b_v,vector_x,vector_y,vector_z,reference,periodic,classified,asassn_discovery,created_at,updated_at,edr3_source_id,galex_id,FUVmag,e_FUVmag,NUVmag,e_NUVmag,tic_id,pm,ruwe
0000374f-8986-535a-9de2-6c1847d5c907,136101,ASASSN-V J221121.85-290944.6,ASAS J221122-2909.8,332.84103,-29.1624,20.01945,-54.82383,13.56,0.4,0.368478,EW,1.0,0.07,0.97,2457942.89757,6615185839926932480,13.48593,0.007385,13.731825,0.021568,13.057212,0.021846,0.674613,1.0624,0.016,66.561,-5.744,0.016,-12.692,0.014,73.0533246300945,903.918335,J221121.89-290945.1,12.837,0.024,12.603,0.028,12.602,0.03,12.271,0.024,12.309,0.025,11.813,0.285,8.437,,0.235,-0.038,3.376,58317028,13.566,0.185,14.076,0.208,13.778,0.204,13.456,0.191,13.359,0.194,0.51,0.016,0.776961412601274,-0.398600841713056,-0.487286704430027,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:55:11 UTC,2021-08-05 16:31:00 UTC,EDR3 6615185839926932224,GALEX J221121.8-290945,22.2101,0.4561,17.7299,0.0318,TIC 441157335,13.931,0.967
000037ed-d09d-57c4-9ccf-906521333f35,AP2945282,ASASSN-V J011050.90+480630.0,,17.71208,48.10833,126.27871,-14.63724,11.6,0.3,16.7417819,EA,0.99,0.34,0.84,2457363.86052,401523955495860608,11.466497,0.002798,11.724975,0.002917,11.050748,0.003817,0.674227,1.2025,0.0334,36.0417,-1.303,0.035,-3.035,0.021,19.6874398717539,795.210754,J011050.88+480630.1,10.592,0.023,10.394,0.022,10.33,0.018,10.295,0.023,10.314,0.02,10.277,0.052,9.532,,0.262,-0.019,0.745,2945282,11.586,0.02,12.072,0.012,11.798,0.041,11.455,0.008,11.393,0.067,0.486,0.138,0.636072439026834,0.203144385064174,0.744408631819482,The ASAS-SN Catalog of Variable Stars: IX,true,true,true,2019-08-02 14:23:17 UTC,2021-08-10 17:47:21 UTC,EDR3 401523955495860608,,,,,,TIC 240902364,3.303,1.49
00008a95-cf2c-567e-be66-4c309074e480,421359,ASASSN-V J171856.79-434355.6,ASAS J171857-4343.9,259.73664,-43.73212,344.67875,-3.59326,11.6,0.41,62.3569277,SR,1.0,0.55,0.72,2457876.78292,5953513039571100672,8.801087,0.006162,11.872985,0.028831,7.298101,0.010512,4.574884,1.3383,0.0591,22.6523,-7.894,0.075,-18.004,0.055,132.118412906932,705.288574,J171856.84-434356.3,4.545,0.224,3.361,0.168,3.023,0.266,3.024,0.445,2.528,0.316,2.215,0.018,1.391,0.018,1.522,0.496,0.824,51789474,11.988,0.121,13.686,0.123,12.894,0.137,10.856,0.26,8.083,0.0,1.698,1.864,-0.128744193732411,-0.711017854802828,-0.69128759769851,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:55:40 UTC,2021-08-05 16:46:04 UTC,EDR3 5953513039571101056,,,,,,TIC 217034172,19.658,1.018
0000955a-fbf6-5867-a847-7ebdc8c5af7d,AP41132326,ASASSN-V J101946.97-561913.1,,154.94571,-56.3203,283.00791,0.56875,14.79,0.29,3.7314905,EA,1.0,0.31,0.85,2457903.63712,5354898811592132608,14.620527,0.002779,15.190893,0.003429,13.893746,0.003962,1.297147,0.3578,0.0188,19.0391,-6.84,0.021,4.019,0.02,14.6341146594269,2569.61597,J101946.97-561913.5,12.922,0.034,12.6,0.033,12.502,0.034,12.224,0.022,12.294,0.023,12.024,0.218,9.115,,0.42,-0.07,2.909,41132326,14.769,0.0,15.733,0.044,15.265,0.0,,,,,0.964,1.741,-0.502370354204171,0.234838921556524,-0.832150652309391,The ASAS-SN Catalog of Variable Stars: V,true,true,true,2019-05-23 08:41:40 UTC,2021-08-05 17:41:50 UTC,EDR3 5354898811592132352,,,,,,TIC 463863546,7.934,0.971
0000b25b-1f49-5cbb-bed3-5124db6e1a6e,AP27759928,ASASSN-V J180553.56-394143.0,,271.47317,-39.69527,352.72011,-8.97728,14.29,0.52,0.6175789,EA,0.995,0.44,0.89,2457675.5177,4035817082616696832,14.203356,0.002778,14.455462,0.002868,13.787688,0.003851,0.667773,0.3919,0.0217,18.0218,-3.686,0.023,-6.79,0.017,15.9255375291674,2299.52197,J180553.57-394144.0,13.346,0.029,13.173,0.036,13.16,0.037,12.923,0.025,12.983,0.028,12.491,,9.019,,0.186,-0.06,3.472,27759928,14.276,0.031,14.804,0.04,14.469,0.0,14.186,0.0,14.142,0.0,0.528,0.177,0.0197817211368416,-0.76919796078667,-0.638704298271502,The ASAS-SN Catalog of Variable Stars: V,true,true,true,2019-05-23 08:41:38 UTC,2021-08-05 17:39:20 UTC,EDR3 4035817082616696832,,,,,,TIC 329101539,7.727,0.891
0000db53-74bb-5b57-8369-9a156c4a3a42,AP34403376,ASASSN-V J181247.72+034703.9,,273.19883,3.78442,31.90623,10.31859,12.64,0.16,29.3851185,SR,0.998,0.65,0.68,2457918.04897,4470067340221927424,11.549702,0.004263,12.908686,0.01451,10.397126,0.007339,2.51156,0.1938,0.023,8.4313,-3.569,0.023,-6.792,0.021,8.06867392038891,4507.33252,J181247.72+034703.8,8.649,0.026,7.759,0.044,7.474,0.024,7.358,0.034,7.516,0.02,7.314,0.019,7.28,0.116,1.175,-0.158,0.034,34403376,12.609,0.017,14.353,0.039,13.429,0.048,11.991,0.015,10.826,0.073,1.744,0.222,0.0556794394985531,-0.996264754124335,0.0660025734854727,The ASAS-SN Catalog of Variable Stars: IX,true,true,true,2019-04-16 09:56:13 UTC,2021-08-10 17:43:35 UTC,EDR3 4470067340221927680,,,,,,TIC 18965908,7.673,0.959
0000e85a-2f71-5ef5-ab68-12f717986346,216294,ASASSN-V J180626.11-265751.5,OGLE MM1-0886,271.60879,-26.96431,4.0178,-2.98056,15.34,0.37,,VAR,0.355,0.81,0.82,2457465.80323,,18.677578,0.016695,18.359386,0.044774,16.712757,0.042753,1.646629,,,,,,,,,3506.64258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011,0.0250229365437576,-0.890937816999341,-0.453435396597107,The ASAS-SN Catalog of Variable Stars: II,false,true,false,2019-04-16 09:53:23 UTC,2021-08-05 16:30:07 UTC,EDR3 4063244189720143488,,,,,,TIC 1606467102,,
0000edd0-302c-510f-b687-af8207b4e29e,639957,ASASSN-V J161925.98-532117.2,[MAA2010] V-251,244.85825,-53.35479,331.0102,-2.22426,15.64,0.33,,ROT:,0.806,0.91,0.83,2457833.8403,5932349085721694208,18.767301,0.004051,19.56811,0.040905,17.913507,0.013205,1.654602,-0.2758,0.249,-1.1074,-3.445,0.248,-6.945,0.223,5.89473162107683,6233.83545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.371,-0.253580667010024,-0.540311495550997,-0.802346766114375,The ASAS-SN Catalog of Variable Stars: II,false,true,false,2019-04-16 09:53:53 UTC,2021-08-05 17:13:35 UTC,EDR3 5932349085721693824,,,,,,TIC 1226540692,7.752,1.038
0000fd6b-cd0f-53a3-a9a6-62ccfb3edd1c,476048,ASASSN-V J210752.88+322317.7,,316.97079,32.38835,77.66485,-10.20757,15.26,0.8,,L,0.996,0.23,0.93,2457240.97361,1865212594815600640,12.499154,0.007489,15.316303,0.031981,11.036264,0.018511,4.280039,0.1873,0.0422,4.4417,-3.997,0.031,-5.47,0.038,6.15021549575758,5221.31299,J210752.87+322317.7,8.404,0.024,7.47,0.047,7.096,0.018,6.81,0.061,6.805,0.02,6.154,0.016,5.415,0.035,1.308,0.005,0.739,10964940,,,,,16.276,0.022,14.363,0.045,11.867,0.132,,0.226,0.617288339473346,-0.576219327500663,0.535655105982313,The ASAS-SN Catalog of Variable Stars: I,false,true,true,2019-04-16 09:53:06 UTC,2021-08-05 18:02:27 UTC,EDR3 1865212594815600768,,,,,,TIC 429044325,6.775,1.308
00011a47-bb7a-5367-8333-e3f889291c58,205070,ASASSN-V J202501.92-405824.2,ASAS J202502-4058.4,306.25802,-40.97338,0.11482,-34.46076,9.44,1.71,,VAR,0.372,0.72,0.84,2456935.57046,6680612279339074560,9.291987,0.003008,9.638408,0.00523,8.772928,0.005227,0.865479,14.8305,0.0251,591.3322,52.137,0.023,-31.947,0.019,4306.93234131038,67.2947083,J202502.03-405825.6,8.196,0.026,7.871,0.034,7.748,0.027,7.669,0.029,7.698,0.021,7.672,0.021,7.64,0.211,0.448,-0.029,0.032,58900000,9.524,0.0,10.078,0.047,9.708,0.0,9.336,0.0,9.22,0.0,0.554,0.047,0.446532468518289,-0.608814717346671,-0.655708315107454,The ASAS-SN Catalog of Variable Stars: II,false,true,false,2019-04-16 09:53:24 UTC,2021-08-05 16:50:21 UTC,EDR3 6680612279339074816,GALEX J202502.0-405826,20.7554,0.199,14.5779,0.0073,TIC 290481443,61.146,1.484
